Unnamed: 0.1,Unnamed: 0,lat,lon,timestamp,datetime,time_delta,distance_Olin,distance_to_chosen
84,909862,47.4457609,-122.3039006,2022-03-09 17:37:45.852000+00:00,2022-03-09 17:37:45.852000+00:00,0 days 00:00:59.613000,338.8445000934418,331.0089371025137
85,909863,47.4457964,-122.303935,2022-03-09 17:39:46.387000+00:00,2022-03-09 17:39:46.387000+00:00,0 days 00:02:00.535000,338.84852302358,331.01302552764827
86,909864,47.445796,-122.3039158,2022-03-09 17:41:13.594000+00:00,2022-03-09 17:41:13.594000+00:00,0 days 00:01:27.207000,338.8471994455576,331.01171663057005
87,909865,47.4457074,-122.3039349,2022-03-09 17:42:15.391000+00:00,2022-03-09 17:42:15.391000+00:00,0 days 00:01:01.797000,338.8442905922086,331.008558295664
88,909866,47.4457805,-122.3038886,2022-03-09 17:44:16.290000+00:00,2022-03-09 17:44:16.290000+00:00,0 days 00:02:00.899000,338.8446153344126,331.0091139062683
89,909867,47.4476402,-122.3021279,2022-03-09 17:45:15.866000+00:00,2022-03-09 17:45:15.866000+00:00,0 days 00:00:59.576000,338.81337219179267,330.9842246218615
90,909868,47.4476377,-122.3021277,2022-03-09 17:47:14.169000+00:00,2022-03-09 17:47:14.169000+00:00,0 days 00:01:58.303000,338.81323972072454,330.9840857145739
91,909869,47.4461165,-122.3039383,2022-03-09 17:47:46.123000+00:00,2022-03-09 17:47:46.123000+00:00,0 days 00:00:31.954000,338.86394723452133,331.0292918170971
92,909870,47.4459408,-122.3042189,2022-03-09 17:48:16.315000+00:00,2022-03-09 17:48:16.315000+00:00,0 days 00:00:30.192000,338.87466941078594,331.03932030989125
93,909871,47.446038,-122.3043265,2022-03-09 17:48:52.128000+00:00,2022-03-09 17:48:52.128000+00:00,0 days 00:00:35.813000,338.88659572893346,331.0514149435946
94,909872,47.4459321,-122.3041476,2022-03-09 17:49:26.158000+00:00,2022-03-09 17:49:26.158000+00:00,0 days 00:00:34.030000,338.8694117292103,331.0340981057801
95,909873,47.4459413,-122.3042719,2022-03-09 17:50:28.512000+00:00,2022-03-09 17:50:28.512000+00:00,0 days 00:01:02.354000,338.8782943275429,331.04290310937245
96,909874,47.4458519,-122.3038991,2022-03-09 17:51:03.422000+00:00,2022-03-09 17:51:03.422000+00:00,0 days 00:00:34.910000,338.8487189498154,331.01339735104796
97,909875,47.4455398,-122.3039178,2022-03-09 17:51:36.825000+00:00,2022-03-09 17:51:36.825000+00:00,0 days 00:00:33.403000,338.835171796996,330.9990111943764
98,909876,47.4451866,-122.3041178,2022-03-09 17:52:08.765000+00:00,2022-03-09 17:52:08.765000+00:00,0 days 00:00:31.940000,338.8319970295361,330.9947404409508
99,909877,47.4445747,-122.3035931,2022-03-09 17:52:44.713000+00:00,2022-03-09 17:52:44.713000+00:00,0 days 00:00:35.948000,338.7673029882124,330.9288612393412
100,909878,47.4444516,-122.3033025,2022-03-09 17:53:16.811000+00:00,2022-03-09 17:53:16.811000+00:00,0 days 00:00:32.098000,338.7417132086188,330.90318455004234
101,909879,47.4442325,-122.3029984,2022-03-09 17:53:52.860000+00:00,2022-03-09 17:53:52.860000+00:00,0 days 00:00:36.049000,338.71065118497324,330.8717932510953
102,909880,47.4438091,-122.302957,2022-03-09 17:54:24.875000+00:00,2022-03-09 17:54:24.875000+00:00,0 days 00:00:32.015000,338.68775232310946,330.84781061316113
103,909881,47.4437421,-122.3029894,2022-03-09 17:55:00.617000+00:00,2022-03-09 17:55:00.617000+00:00,0 days 00:00:35.742000,338.686776561937,330.8466314583497
